latitude,longitude,elevation_m,temperature_C,humidity_percent,rainfall_mm_day,windspeed_mps,soil_type,soil_pH,soil_moisture_percent,organic_carbon_percent,nitrogen_mgkg,phosphorus_mgkg,potassium_mgkg,bulk_density_gcm3,drainage,ndvi,canopy_cover_percent,burn_severity,fire_frequency_5yr,deforestation_percent,native_species_suitability,carbon_sequestration_tCO2_ha,recommended_reforestation_method,recommended_species
-2.670167,-67.754927,99.8,25.79,84.5,14.72,2.9,Oxisol,5.57,61.4,6.51,705,39,158,1.53,Moderate,0.95,94.3,0.053,0,0.0,100.0,250.0,Natural Regeneration,Brazil Nut
-0.105177,-69.750961,128.1,34.37,64.7,21.66,3.66,Ultisol,5.85,45.3,3.91,564,7,215,1.6,Good,0.613,63.9,0.248,2,12.7,100.0,171.6,Natural Regeneration,Brazil Nut
-3.884049,-73.315519,125.5,27.67,81.6,13.38,4.09,Ultisol,6.16,52.8,3.72,1022,21,219,1.19,Poor,0.716,68.4,0.324,3,49.3,100.0,189.9,Direct Seeding,Açaí Palm
-2.662843,-52.1767,127.7,27.58,84.0,8.46,6.6,Spodosol,5.13,43.5,4.35,471,31,222,0.9,Moderate,0.659,64.3,0.346,4,34.4,100.0,199.1,Agroforestry,Rubber Tree
-2.069105,-73.802645,242.1,30.82,83.6,24.87,0.61,Oxisol,4.43,60.2,1.99,2195,33,240,1.37,Good,0.452,47.3,0.492,4,61.9,90.9,109.9,Assisted Natural Regeneration,Andiroba
-1.35144,-56.334029,195.2,31.98,81.0,4.88,4.41,Spodosol,6.59,45.6,5.82,753,7,71,0.99,Good,0.944,87.6,0.077,3,5.3,100.0,250.0,Natural Regeneration,Brazil Nut
1.281408,-70.348451,147.2,28.18,83.7,21.95,3.44,Ultisol,6.17,51.1,1.2,1865,38,125,1.26,Poor,0.389,44.4,0.529,4,73.7,91.4,96.9,Assisted Natural Regeneration,Andiroba
-3.40261,-52.106489,69.2,24.78,94.0,6.3,2.72,Ultisol,5.51,66.5,1.34,1741,26,109,0.97,Moderate,0.516,58.9,0.43,2,35.0,98.0,127.9,Agroforestry,Rubber Tree
-0.886124,-52.572897,27.3,32.05,70.9,31.06,2.79,Entisol,4.99,51.0,1.34,1340,10,178,1.32,Moderate,0.403,44.3,0.443,4,12.4,89.4,102.6,Agroforestry,Rubber Tree
-0.260683,-58.306372,92.2,26.16,81.0,8.84,7.44,Ultisol,6.76,62.1,5.76,2229,12,172,1.56,Poor,0.95,90.7,0.0,0,0.0,100.0,250.0,Natural Regeneration,Brazil Nut
-4.628397,-57.86638,55.5,24.28,100.0,9.77,2.14,Histosol,4.26,54.9,3.21,497,39,181,1.24,Moderate,0.639,64.0,0.385,4,36.4,100.0,191.5,Agroforestry,Rubber Tree
-0.139641,-73.871861,279.2,30.21,67.9,4.36,3.64,Ultisol,6.62,33.9,4.86,1017,23,94,0.95,Moderate,0.739,74.1,0.11,2,10.4,100.0,189.0,Natural Regeneration,Brazil Nut
-3.635807,-50.363082,57.1,23.18,87.9,13.29,3.94,Ultisol,5.13,60.2,1.48,2153,34,46,0.91,Poor,0.505,48.1,0.352,3,33.1,100.0,115.3,Agroforestry,Rubber Tree
-4.479587,-52.932018,259.0,34.63,77.4,13.43,5.76,Histosol,4.27,55.2,5.58,1344,31,96,0.93,Good,0.95,96.0,0.0,1,0.0,100.0,250.0,Natural Regeneration,Brazil Nut
2.591084,-52.517451,147.3,30.22,79.5,46.09,4.15,Spodosol,5.06,76.8,3.01,2082,25,84,0.97,Moderate,0.83,85.1,0.125,1,0.0,100.0,211.9,Natural Regeneration,Brazil Nut
2.725056,-58.178131,44.2,34.82,62.3,26.43,4.97,Oxisol,6.1,44.7,2.29,1739,17,93,1.28,Poor,0.401,32.7,0.516,5,38.9,93.1,83.0,Agroforestry,Rubber Tree
1.467179,-65.725114,288.2,26.41,92.4,7.85,3.19,Oxisol,5.19,57.7,5.29,2177,12,249,0.98,Moderate,0.95,93.2,0.071,1,4.1,100.0,250.0,Natural Regeneration,Brazil Nut
-2.56309,-52.552432,211.3,34.63,72.3,16.03,5.75,Ultisol,5.38,56.3,1.39,1277,8,32,1.08,Good,0.435,32.9,0.376,4,37.0,87.6,107.6,Agroforestry,Rubber Tree
-4.218623,-67.003594,97.8,23.89,88.6,11.06,3.73,Spodosol,6.31,55.9,3.92,2017,10,185,1.11,Poor,0.788,83.8,0.152,0,20.0,100.0,213.8,Natural Regeneration,Brazil Nut
0.473864,-60.494923,315.2,22.53,96.0,7.4,1.78,Ultisol,5.72,62.3,3.3,1845,18,137,0.93,Moderate,0.753,77.5,0.199,2,32.0,100.0,189.4,Natural Regeneration,Brazil Nut
-1.47878,-71.606457,34.9,22.43,100.0,8.41,6.54,Inceptisol,5.87,54.7,5.45,2064,13,85,1.13,Moderate,0.791,77.7,0.063,0,11.3,100.0,222.1,Natural Regeneration,Brazil Nut
-4.023694,-51.873065,86.6,28.04,80.8,9.76,6.12,Oxisol,4.43,58.2,4.83,1570,27,127,1.03,Good,0.744,76.7,0.32,2,21.5,100.0,204.9,Agroforestry,Rubber Tree
-1.038585,-70.621509,268.2,23.08,98.7,13.48,5.02,Ultisol,4.71,79.9,6.35,398,10,212,0.97,Moderate,0.95,96.5,0.008,0,0.0,100.0,250.0,Natural Regeneration,Brazil Nut
-4.724892,-68.602477,254.1,28.66,90.5,9.75,4.18,Oxisol,5.15,54.3,5.36,1289,5,149,1.56,Good,0.843,82.1,0.085,0,0.0,100.0,232.0,Natural Regeneration,Brazil Nut
2.274563,-60.60478,115.5,26.26,77.4,1.43,1.67,Oxisol,4.31,61.3,3.49,1673,16,51,1.38,Moderate,0.791,81.5,0.08,1,34.5,100.0,198.9,Natural Regeneration,Brazil Nut
-2.92976,-55.661768,40.5,26.36,87.4,11.68,6.95,Oxisol,4.78,63.0,2.11,483,25,95,1.08,Good,0.568,66.7,0.48,3,21.2,100.0,167.1,Agroforestry,Rubber Tree
0.300178,-59.135569,303.2,30.26,80.7,13.24,0.78,Oxisol,6.33,58.8,3.7,682,6,123,1.12,Moderate,0.712,69.8,0.259,2,20.3,100.0,200.2,Natural Regeneration,Brazil Nut
-2.506311,-68.428786,123.5,24.12,85.7,23.14,3.07,Histosol,4.06,61.9,2.0,666,28,135,1.25,Moderate,0.535,67.1,0.463,3,32.4,94.2,141.4,Agroforestry,Rubber Tree
-0.839456,-73.977367,84.6,31.97,72.4,6.32,6.82,Oxisol,4.14,46.7,1.68,2363,15,58,1.55,Moderate,0.439,44.0,0.481,5,46.8,89.9,119.8,Direct Seeding,Açaí Palm
-0.626318,-55.828386,190.3,29.57,86.3,17.99,4.76,Ultisol,5.92,61.6,1.29,1099,30,52,0.98,Moderate,0.441,49.8,0.487,5,38.2,100.0,93.3,Agroforestry,Rubber Tree
-3.521164,-50.355024,320.4,33.89,66.7,43.01,3.51,Oxisol,5.08,58.7,4.25,417,12,55,1.37,Moderate,0.742,90.4,0.316,2,0.6,100.0,204.8,Agroforestry,Rubber Tree
2.756677,-54.562085,34.4,26.74,80.7,8.49,6.33,Entisol,6.16,40.1,4.4,1650,38,40,1.54,Poor,0.624,64.0,0.436,4,23.3,100.0,188.7,Agroforestry,Rubber Tree
1.201063,-62.955041,272.7,34.78,73.7,13.44,7.92,Ultisol,6.61,50.9,4.93,1104,31,138,1.32,Poor,0.81,67.3,0.094,0,26.0,100.0,235.9,Natural Regeneration,Brazil Nut
2.515992,-52.309586,208.9,29.49,83.5,36.95,1.51,Oxisol,4.75,74.2,6.32,2345,18,250,1.49,Moderate,0.95,100.0,0.0,0,0.0,100.0,250.0,Natural Regeneration,Brazil Nut
2.158619,-64.163656,160.4,34.65,68.0,12.95,0.41,Oxisol,4.1,49.3,6.48,1000,19,24,1.36,Moderate,0.95,92.0,0.132,1,17.3,100.0,250.0,Natural Regeneration,Brazil Nut
-0.2168,-61.401582,265.5,22.35,98.6,4.69,3.7,Oxisol,5.28,53.7,3.04,2446,34,99,0.97,Good,0.666,65.4,0.296,1,5.2,100.0,180.5,Natural Regeneration,Brazil Nut
2.374994,-62.548886,338.7,31.46,81.5,12.1,2.3,Ultisol,6.7,51.8,4.82,751,35,161,1.26,Poor,0.733,66.5,0.339,4,39.9,100.0,200.8,Agroforestry,Rubber Tree
-4.29206,-63.257027,95.6,32.62,74.9,35.61,5.33,Oxisol,5.53,65.7,3.77,1148,26,73,0.93,Moderate,0.818,82.4,0.128,2,16.5,100.0,204.7,Natural Regeneration,Brazil Nut
-3.432137,-55.395422,67.4,22.69,100.0,38.08,3.95,Oxisol,5.06,77.6,5.52,1133,3,159,1.26,Good,0.95,98.6,0.0,0,11.6,100.0,250.0,Natural Regeneration,Brazil Nut
-4.638182,-61.357546,321.3,29.53,77.7,24.13,3.99,Oxisol,5.55,62.7,5.3,2026,25,54,1.28,Moderate,0.836,73.8,0.087,1,0.0,100.0,244.4,Natural Regeneration,Brazil Nut
-2.397357,-66.398789,240.8,32.43,64.4,19.35,2.84,Oxisol,4.46,49.0,2.17,770,7,86,1.41,Moderate,0.574,48.9,0.468,4,59.8,100.0,144.2,Direct Seeding,Açaí Palm
-1.890582,-67.804204,164.5,29.29,84.9,10.23,1.69,Ultisol,6.1,61.1,2.04,1401,40,39,0.93,Moderate,0.572,72.9,0.323,2,27.7,100.0,144.6,Agroforestry,Rubber Tree
-2.829208,-73.094064,209.2,22.83,100.0,11.11,1.71,Oxisol,5.91,67.7,1.69,647,37,248,1.16,Moderate,0.56,62.8,0.49,3,48.5,98.8,132.9,Direct Seeding,Açaí Palm
1.6299,-60.003316,266.1,31.01,76.3,6.54,3.1,Histosol,6.03,49.8,1.74,2223,4,220,1.42,Moderate,0.49,48.5,0.428,3,47.5,100.0,112.1,Direct Seeding,Açaí Palm
-2.145973,-68.480926,275.1,22.79,100.0,5.77,5.45,Oxisol,4.85,66.0,2.48,1063,8,91,1.2,Good,0.584,58.4,0.327,4,39.3,100.0,162.5,Agroforestry,Rubber Tree
-2.752524,-70.444786,323.6,32.63,71.8,20.51,2.7,Oxisol,6.28,39.0,3.1,859,23,145,1.5,Moderate,0.54,45.3,0.46,2,62.1,100.0,153.1,Assisted Natural Regeneration,Andiroba
-0.658431,-58.308081,160.9,22.56,98.1,10.98,2.61,Oxisol,6.5,59.7,4.73,829,31,206,1.37,Moderate,0.777,62.5,0.046,1,0.0,100.0,207.5,Natural Regeneration,Brazil Nut
-3.872606,-57.650978,116.8,23.79,100.0,20.26,3.4,Oxisol,6.68,72.5,5.48,394,13,36,1.35,Moderate,0.95,92.6,0.106,0,28.8,100.0,250.0,Natural Regeneration,Brazil Nut
1.417576,-55.948283,231.1,25.58,89.6,3.92,7.93,Entisol,5.79,47.0,1.84,2319,34,75,1.15,Moderate,0.443,43.5,0.49,3,45.9,96.2,109.5,Direct Seeding,Açaí Palm
-4.403595,-61.914154,157.2,30.23,77.7,9.05,0.73,Oxisol,4.97,55.9,2.52,425,10,179,1.05,Moderate,0.54,52.8,0.397,4,26.0,100.0,138.2,Agroforestry,Rubber Tree
2.895095,-52.542689,216.2,34.69,58.9,3.33,2.36,Oxisol,5.09,37.3,4.55,1628,28,111,1.39,Good,0.746,71.9,0.248,1,30.7,100.0,195.9,Natural Regeneration,Brazil Nut
1.177958,-51.527774,158.6,23.53,99.6,32.06,2.34,Ultisol,5.58,67.6,5.55,1132,7,250,1.07,Good,0.95,89.1,0.0,1,30.5,100.0,250.0,Natural Regeneration,Brazil Nut
-3.410275,-54.623097,70.5,23.86,91.8,21.26,7.8,Oxisol,5.61,64.2,5.92,2442,22,224,1.52,Moderate,0.95,100.0,0.0,0,0.0,100.0,250.0,Natural Regeneration,Brazil Nut
-4.955823,-58.745756,174.9,26.8,88.7,13.06,3.26,Ultisol,6.22,53.3,3.3,353,17,121,1.55,Poor,0.55,63.7,0.388,2,25.9,100.0,132.1,Agroforestry,Rubber Tree
1.523691,-66.710697,248.0,32.87,71.2,29.57,4.54,Oxisol,4.24,58.5,3.68,2362,21,162,1.37,Moderate,0.682,61.4,0.163,0,0.0,100.0,191.5,Natural Regeneration,Brazil Nut
0.654859,-50.409322,283.8,28.07,82.6,6.53,1.59,Ultisol,5.59,59.0,5.07,202,4,190,0.91,Moderate,0.829,92.3,0.078,1,19.9,100.0,221.3,Natural Regeneration,Brazil Nut
0.832057,-67.420732,182.8,26.18,89.0,29.65,0.1,Entisol,4.98,64.9,2.67,275,17,111,1.52,Poor,0.635,59.0,0.326,3,59.2,100.0,170.7,Direct Seeding,Açaí Palm
1.170163,-69.136234,74.5,29.3,81.6,0.97,2.71,Spodosol,6.34,57.7,1.5,1027,13,41,1.01,Moderate,0.548,56.8,0.357,2,49.2,100.0,144.1,Direct Seeding,Açaí Palm
-4.407643,-63.388301,156.8,25.39,97.4,16.71,5.11,Inceptisol,4.99,69.3,3.66,2135,19,85,1.25,Moderate,0.859,82.3,0.026,0,11.7,100.0,242.1,Natural Regeneration,Brazil Nut
-2.132274,-72.635826,279.5,27.22,94.6,3.83,5.53,Oxisol,5.31,61.6,6.91,916,26,30,0.96,Moderate,0.95,89.2,0.034,0,0.0,100.0,250.0,Natural Regeneration,Brazil Nut
-4.073048,-50.516133,156.2,26.32,92.4,14.89,6.03,Oxisol,4.64,64.5,3.24,933,38,137,1.38,Poor,0.776,77.8,0.18,2,18.6,100.0,199.9,Natural Regeneration,Brazil Nut
1.904827,-59.877595,249.9,32.45,80.2,9.72,6.89,Ultisol,4.83,49.9,2.79,1159,19,60,1.23,Poor,0.574,49.9,0.427,3,77.1,98.8,153.2,Assisted Natural Regeneration,Andiroba
-0.013615,-60.63315,187.4,34.02,74.2,11.69,0.92,Oxisol,5.56,49.7,5.94,679,25,138,1.58,Poor,0.816,75.1,0.162,0,5.2,100.0,238.0,Natural Regeneration,Brazil Nut
-2.352816,-58.260889,99.6,31.87,77.8,31.57,0.66,Inceptisol,5.19,60.3,6.51,2423,21,113,1.14,Moderate,0.95,95.1,0.001,0,16.3,100.0,250.0,Natural Regeneration,Brazil Nut
-4.491533,-62.071432,282.7,27.71,93.0,29.04,6.3,Ultisol,4.56,67.8,5.68,779,31,231,0.92,Poor,0.949,96.1,0.0,0,0.0,100.0,250.0,Natural Regeneration,Brazil Nut
-2.512141,-73.230476,47.8,28.56,77.1,28.5,3.49,Ultisol,5.33,55.5,4.14,247,27,193,1.6,Moderate,0.775,76.5,0.167,1,37.8,100.0,204.8,Natural Regeneration,Brazil Nut
-2.398533,-59.304529,193.2,23.63,92.5,35.64,7.58,Oxisol,4.46,68.1,6.33,941,17,28,0.97,Moderate,0.95,94.5,0.024,1,0.0,100.0,250.0,Natural Regeneration,Brazil Nut
0.836849,-56.811827,88.9,31.71,71.6,12.11,7.55,Ultisol,6.47,39.3,4.54,1297,25,186,1.34,Good,0.657,71.0,0.395,6,33.6,100.0,188.1,Agroforestry,Rubber Tree
0.10046,-63.998023,42.1,29.75,79.1,13.03,1.13,Oxisol,6.59,46.7,2.77,1156,2,213,1.24,Good,0.618,61.9,0.32,4,32.5,100.0,153.2,Agroforestry,Rubber Tree
2.097702,-55.824906,186.0,33.73,74.1,10.9,5.53,Oxisol,4.63,46.6,6.62,2331,40,246,0.96,Moderate,0.901,74.9,0.1,0,0.0,100.0,250.0,Natural Regeneration,Brazil Nut
-1.222281,-68.551969,184.9,24.61,87.9,13.63,0.54,Inceptisol,4.15,51.5,4.94,2238,11,92,1.38,Good,0.744,68.3,0.12,1,32.3,100.0,193.1,Natural Regeneration,Brazil Nut
-4.043246,-68.689362,253.3,31.88,77.8,48.18,3.23,Oxisol,6.6,67.9,1.8,1711,36,68,0.91,Good,0.657,59.1,0.273,2,15.5,100.0,164.1,Natural Regeneration,Brazil Nut
0.705958,-70.125992,265.8,30.9,74.8,19.9,6.73,Ultisol,4.87,59.9,3.01,559,38,189,1.42,Poor,0.672,53.2,0.399,3,45.0,100.0,179.5,Direct Seeding,Açaí Palm
1.08628,-65.072126,260.2,25.46,89.6,7.04,3.69,Oxisol,4.53,54.2,4.96,1611,14,97,1.21,Moderate,0.833,100.0,0.199,4,23.5,100.0,226.0,Natural Regeneration,Brazil Nut
-0.509782,-53.671711,155.2,30.68,79.3,3.58,0.27,Oxisol,6.57,54.9,6.02,2058,6,161,1.36,Moderate,0.883,88.1,0.0,1,0.9,100.0,250.0,Natural Regeneration,Brazil Nut
1.167737,-54.130111,228.5,34.02,78.4,2.88,1.92,Inceptisol,6.47,54.9,6.93,668,26,83,1.34,Moderate,0.95,81.6,0.0,0,0.0,100.0,250.0,Natural Regeneration,Brazil Nut
-1.049635,-64.812219,210.4,33.94,66.6,4.3,0.69,Inceptisol,4.15,34.8,2.21,553,37,84,1.46,Poor,0.441,54.9,0.561,7,57.7,95.0,111.5,Direct Seeding,Açaí Palm
-0.818137,-59.86115,159.1,31.36,76.2,14.64,3.27,Entisol,4.58,51.6,5.83,475,9,31,1.21,Moderate,0.869,90.1,0.0,0,0.0,100.0,249.9,Natural Regeneration,Brazil Nut
-1.579672,-56.700408,217.1,22.62,93.0,6.42,5.57,Entisol,6.28,51.4,1.71,813,40,246,1.16,Moderate,0.491,38.1,0.475,5,27.7,92.5,128.2,Agroforestry,Rubber Tree
-4.796647,-68.211037,332.6,33.34,68.0,15.24,5.28,Oxisol,4.75,34.3,5.09,1135,15,108,1.34,Poor,0.786,74.6,0.201,0,0.0,100.0,225.3,Natural Regeneration,Brazil Nut
-4.136869,-69.964614,83.7,30.55,73.2,4.6,5.75,Entisol,5.87,48.0,1.64,1129,5,90,1.51,Moderate,0.549,58.4,0.377,2,66.9,100.0,133.3,Assisted Natural Regeneration,Andiroba
-4.748567,-50.669696,318.9,26.04,91.1,14.03,3.07,Oxisol,4.11,53.8,4.36,206,40,64,1.11,Moderate,0.758,71.5,0.159,2,13.8,100.0,220.7,Natural Regeneration,Brazil Nut
0.091283,-59.178624,37.6,24.43,96.0,5.53,2.12,Oxisol,6.36,49.6,4.13,1910,14,250,1.5,Good,0.738,69.3,0.227,2,18.0,100.0,196.0,Natural Regeneration,Brazil Nut
-2.485152,-50.446023,121.8,23.51,99.7,6.47,0.46,Ultisol,5.18,63.2,6.37,503,3,246,1.54,Good,0.95,94.2,0.107,0,25.5,100.0,250.0,Natural Regeneration,Brazil Nut
-0.931434,-65.893856,115.1,22.65,94.6,12.97,7.53,Oxisol,5.32,59.8,4.22,228,16,222,0.93,Good,0.823,86.4,0.06,2,11.6,100.0,213.8,Natural Regeneration,Brazil Nut
2.260532,-57.127239,226.7,31.8,78.0,8.62,0.95,Ultisol,6.26,48.5,5.3,246,18,26,1.11,Poor,0.862,76.0,0.257,0,49.3,100.0,228.0,Natural Regeneration,Brazil Nut
-3.005662,-68.657513,63.3,25.07,92.9,21.48,1.43,Oxisol,5.27,66.1,6.18,201,28,170,1.19,Poor,0.95,91.6,0.053,0,0.0,100.0,250.0,Natural Regeneration,Brazil Nut
-1.716937,-67.731196,311.2,22.32,98.9,21.24,0.2,Oxisol,4.29,74.0,1.85,1867,40,107,0.99,Good,0.674,57.9,0.339,3,49.6,100.0,171.3,Direct Seeding,Açaí Palm
1.044409,-61.714349,293.4,27.16,80.9,14.18,2.54,Spodosol,5.41,54.0,1.71,382,18,208,1.6,Good,0.424,46.8,0.454,1,60.3,100.0,86.2,Assisted Natural Regeneration,Andiroba
-3.169615,-66.329165,235.2,28.27,85.1,28.26,6.55,Ultisol,5.28,65.1,1.72,2314,2,84,1.13,Moderate,0.629,64.9,0.095,1,10.0,100.0,149.7,Natural Regeneration,Brazil Nut
-4.384161,-69.977082,171.3,24.2,95.4,6.33,2.66,Oxisol,5.26,59.1,2.95,2032,7,202,1.31,Moderate,0.635,59.1,0.277,3,33.8,100.0,161.9,Natural Regeneration,Brazil Nut
-2.681988,-67.690863,327.9,22.57,99.1,5.36,5.33,Inceptisol,4.54,59.3,3.34,2401,23,55,1.49,Moderate,0.733,67.9,0.143,1,1.3,100.0,189.6,Natural Regeneration,Brazil Nut
-3.71023,-73.142039,294.1,24.46,95.9,3.27,7.72,Entisol,4.46,61.6,1.23,1458,4,190,1.33,Moderate,0.506,36.0,0.562,6,62.4,94.2,111.1,Assisted Natural Regeneration,Andiroba
2.437581,-57.093833,184.8,30.83,81.4,14.98,7.14,Oxisol,6.18,50.2,2.5,1500,21,29,1.27,Good,0.618,58.9,0.282,1,40.8,100.0,178.6,Natural Regeneration,Brazil Nut
1.464963,-62.1892,251.6,23.07,91.8,4.2,1.44,Inceptisol,5.73,55.4,1.04,1499,20,32,1.53,Good,0.403,44.3,0.424,3,42.1,99.1,90.7,Direct Seeding,Açaí Palm
0.06723,-71.738166,207.1,29.22,80.9,9.28,2.87,Ultisol,4.02,42.9,2.15,1782,18,82,1.33,Good,0.45,42.0,0.423,4,47.8,97.5,111.6,Direct Seeding,Açaí Palm
1.971685,-69.879344,214.0,23.9,97.8,7.15,6.01,Ultisol,6.34,52.8,3.36,1443,5,77,1.46,Poor,0.644,65.5,0.226,2,15.5,100.0,174.7,Natural Regeneration,Brazil Nut
1.429377,-71.539171,129.2,24.54,92.3,3.69,7.82,Spodosol,4.34,58.2,5.53,2008,37,50,1.36,Good,0.929,91.2,0.008,0,0.0,100.0,250.0,Natural Regeneration,Brazil Nut
-3.50744,-59.297773,172.5,27.11,92.0,9.61,5.73,Oxisol,6.07,64.2,6.98,1638,9,190,1.03,Moderate,0.95,98.2,0.026,0,0.0,100.0,250.0,Natural Regeneration,Brazil Nut
2.140472,-71.738951,45.8,23.31,97.2,7.73,2.02,Ultisol,4.27,60.6,2.2,2063,4,94,1.39,Moderate,0.582,68.3,0.465,2,73.1,100.0,164.7,Assisted Natural Regeneration,Andiroba
-0.685262,-55.897224,137.9,24.25,84.6,10.66,1.06,Oxisol,6.72,55.6,5.21,880,21,115,1.45,Moderate,0.882,87.8,0.0,1,0.2,100.0,234.7,Natural Regeneration,Brazil Nut
1.459521,-73.507738,249.6,26.54,92.9,14.7,3.96,Inceptisol,6.52,68.3,3.11,940,30,170,1.49,Moderate,0.704,59.5,0.234,1,4.8,100.0,187.4,Natural Regeneration,Brazil Nut
2.16873,-68.014981,334.6,26.29,88.7,7.49,1.54,Spodosol,4.51,57.8,6.1,591,8,114,0.91,Moderate,0.95,88.5,0.0,1,18.9,100.0,250.0,Natural Regeneration,Brazil Nut
-2.455972,-52.624,337.8,31.74,66.8,18.12,1.82,Oxisol,4.02,50.6,3.0,838,17,182,1.17,Good,0.69,79.0,0.211,1,19.6,100.0,163.6,Natural Regeneration,Brazil Nut
-4.119585,-56.755248,203.4,22.97,96.3,5.33,5.08,Oxisol,4.17,58.6,2.86,916,12,206,1.2,Poor,0.601,53.0,0.295,2,26.5,100.0,158.9,Natural Regeneration,Brazil Nut
-3.176519,-72.24876,220.2,33.19,65.7,33.85,4.12,Histosol,6.26,51.8,4.21,1814,8,113,0.97,Poor,0.745,81.4,0.097,2,0.0,100.0,207.9,Natural Regeneration,Brazil Nut
-1.583138,-54.292973,81.3,32.61,77.2,11.05,0.97,Spodosol,4.21,41.6,6.99,1599,10,225,1.09,Moderate,0.95,84.3,0.0,1,0.0,100.0,250.0,Natural Regeneration,Brazil Nut
